#YY  MM DD hh mm   DEPTH  OTMP   COND   SAL   O2% O2PPM  CLCON  TURB    PH    EH
#yr  mo dy hr mn       m  degC  mS/cm   psu     %   ppm   ug/l   FTU     -    mv
2020 01 05 03 00     1.9 16.10 999.00  9.70 104.7  9.70 999.00    12 99.00 99.00
2020 01 05 03 30     1.9 15.50 999.00  7.20 103.7  9.90 999.00    17 99.00 99.00
2020 01 05 04 00     1.9 16.20 999.00 10.00 105.1  9.70 999.00    11 99.00 99.00
2020 01 05 04 30     1.9 15.70 999.00  8.50 103.5  9.80 999.00    11 99.00 99.00
2020 01 05 05 00     1.8 16.00 999.00 10.00 104.3  9.70 999.00    10 99.00 99.00
2020 01 05 05 30     1.8 15.90 999.00  9.90 103.9  9.70 999.00    10 99.00 99.00
2020 01 05 06 00     1.8 13.90 999.00  3.90  99.5 10.00 999.00    18 99.00 99.00
2020 01 05 06 30     1.8 14.00 999.00  4.40  99.2 10.00 999.00    19 99.00 99.00
2020 01 05 07 00     1.8 13.80 999.00  3.60  98.7 10.00 999.00    26 99.00 99.00
2020 01 05 07 30     1.8 13.90 999.00  3.20  97.8  9.90 999.00    32 99.00 99.00
2020 01 05 08 00     1.8 13.90 999.00  3.10  98.2 10.00 999.00    29 99.00 99.00
2020 01 05 08 30     1.8 13.80 999.00  3.10  98.6 10.00 999.00    29 99.00 99.00
2020 01 05 09 00     1.8 13.80 999.00  3.20  98.6 10.00 999.00    27 99.00 99.00
2020 01 05 09 30     1.7 13.70 999.00  3.20  99.1 10.10 999.00    31 99.00 99.00
2020 01 05 10 00     1.7 13.60 999.00  3.20  98.9 10.10 999.00    30 99.00 99.00
2020 01 05 10 30     1.7 13.60 999.00  3.30  98.9 10.10 999.00    29 99.00 99.00
2020 01 05 11 00     1.7 13.60 999.00  3.30  99.1 10.10 999.00    29 99.00 99.00
2020 01 05 11 30     1.6 13.80 999.00  3.50  99.0 10.00 999.00    27 99.00 99.00
2020 01 05 12 00     1.6 13.90 999.00  3.70  98.6 10.00 999.00    26 99.00 99.00
2020 01 05 12 30     1.6 14.00 999.00  4.20  98.8  9.90 999.00    24 99.00 99.00
2020 01 05 13 00     1.7 14.20 999.00  5.00  99.1  9.90 999.00    23 99.00 99.00
2020 01 05 13 30     1.7 14.20 999.00  5.30  99.1  9.80 999.00    23 99.00 99.00
2020 01 05 14 00     1.7 14.10 999.00  5.20  99.2  9.90 999.00    21 99.00 99.00
2020 01 05 14 30     1.7 14.10 999.00  5.20  99.1  9.90 999.00    21 99.00 99.00
2020 01 05 15 00     1.7 14.10 999.00  5.20  99.0  9.90 999.00    20 99.00 99.00
2020 01 05 15 30     1.7 14.10 999.00  5.20  99.2  9.90 999.00    18 99.00 99.00
2020 01 05 16 00     1.7 14.20 999.00  5.20  99.6  9.90 999.00    20 99.00 99.00
2020 01 05 16 30     1.7 14.20 999.00  5.20  98.7  9.80 999.00    16 99.00 99.00
2020 01 05 17 00     1.7 14.30 999.00  5.20  99.3  9.80 999.00    14 99.00 99.00
2020 01 05 17 30     1.7 14.40 999.00  5.20  99.4  9.80 999.00    15 99.00 99.00
2020 01 05 18 00     1.7 14.40 999.00  5.20  99.1  9.80 999.00    15 99.00 99.00
2020 01 05 18 30     1.8 14.40 999.00  5.30 101.4 10.00 999.00    21 99.00 99.00
2020 01 05 19 00     1.8 14.70 999.00  8.10  95.9  9.30 999.00    15 99.00 99.00
2020 01 05 19 30     1.8 15.10 999.00 11.60  90.1  8.50 999.00    11 99.00 99.00
2020 01 05 20 00     1.8 15.10 999.00 10.80  90.7  8.60 999.00    11 99.00 99.00
2020 01 05 20 30     1.9 15.50 999.00 14.60  87.9  8.00 999.00    12 99.00 99.00
2020 01 05 21 00     1.9 15.70 999.00 17.20  85.8  7.70 999.00    33 99.00 99.00
2020 01 05 21 30     1.9 15.90 999.00 17.70  86.4  7.70 999.00    13 99.00 99.00
2020 01 05 22 00     1.9 16.00 999.00 19.90  83.5  7.30 999.00    13 99.00 99.00
2020 01 05 22 30     1.9 16.00 999.00 20.20  84.3  7.40 999.00    11 99.00 99.00
2020 01 05 23 00     1.9 15.60 999.00 16.30  91.2  8.20 999.00    18 99.00 99.00
2020 01 05 23 30     2.0 14.80 999.00  6.80 108.2 10.50 999.00    12 99.00 99.00
2020 01 06 00 00     2.0 15.10 999.00  8.90 107.0 10.20 999.00    21 99.00 99.00
2020 01 06 00 30     2.0 15.10 999.00  9.30 103.7  9.90 999.00    26 99.00 99.00
2020 01 06 01 00     2.0 14.90 999.00  8.00 109.3 10.50 999.00    12 99.00 99.00
2020 01 06 01 30     2.0 14.70 999.00  7.20 109.8 10.70 999.00    12 99.00 99.00
2020 01 06 02 00     2.0 14.60 999.00  6.30 109.9 10.80 999.00    13 99.00 99.00
2020 01 06 02 30     2.0 14.60 999.00  6.30 110.2 10.80 999.00    12 99.00 99.00
2020 01 06 03 00     2.0 14.50 999.00  6.10 110.7 10.90 999.00    10 99.00 99.00
2020 01 06 03 30     1.9 14.50 999.00  6.30 110.4 10.80 999.00    10 99.00 99.00
2020 01 06 04 00     1.9 14.30 999.00  6.50 110.3 10.80 999.00     9 99.00 99.00
2020 01 06 04 30     1.9 14.20 999.00  6.60 109.5 10.80 999.00    10 99.00 99.00
2020 01 06 05 00     1.9 13.90 999.00  6.30 110.4 11.00 999.00     9 99.00 99.00
2020 01 06 05 30     1.9 13.80 999.00  6.30 109.7 10.90 999.00     9 99.00 99.00
2020 01 06 06 00     1.9 13.70 999.00  6.20 108.6 10.80 999.00     9 99.00 99.00
2020 01 06 06 30     1.8 13.70 999.00  6.20 108.3 10.80 999.00     9 99.00 99.00
2020 01 06 07 00     1.8 13.80 999.00  5.30 100.5 10.10 999.00    10 99.00 99.00
2020 01 06 07 30     1.8 13.90 999.00  5.10  99.2  9.90 999.00    10 99.00 99.00
2020 01 06 08 00     1.8 14.00 999.00  5.50  97.9  9.80 999.00    11 99.00 99.00
2020 01 06 08 30     1.8 14.20 999.00  6.00  98.7  9.80 999.00    18 99.00 99.00
2020 01 06 09 00     1.8 14.20 999.00  6.20  99.3  9.80 999.00     9 99.00 99.00
2020 01 06 09 30     1.7 14.10 999.00  6.20  98.9  9.80 999.00     9 99.00 99.00
2020 01 06 10 00     1.7 13.90 999.00  5.90  98.1  9.80 999.00    10 99.00 99.00
2020 01 06 10 30     1.7 14.10 999.00  6.30  98.9  9.80 999.00    11 99.00 99.00
2020 01 06 11 00     1.7 14.30 999.00  6.60  99.2  9.80 999.00    11 99.00 99.00
2020 01 06 11 30     1.7 14.30 999.00  6.50  98.8  9.70 999.00    11 99.00 99.00
2020 01 06 12 00     1.7 14.00 999.00  6.30  97.9  9.70 999.00    11 99.00 99.00
2020 01 06 12 30     1.7 13.90 999.00  6.30  98.0  9.70 999.00    10 99.00 99.00
2020 01 06 13 00     1.7 13.90 999.00  6.30  98.7  9.80 999.00     9 99.00 99.00
2020 01 06 13 30     1.7 14.00 999.00  6.30  98.2  9.80 999.00     9 99.00 99.00
2020 01 06 14 00     1.7 14.00 999.00  6.40  97.9  9.70 999.00     9 99.00 99.00
2020 01 06 14 30     1.7 14.10 999.00  6.50  98.2  9.70 999.00    10 99.00 99.00
2020 01 06 15 00     1.7 14.40 999.00  7.40  90.7  8.90 999.00     9 99.00 99.00
2020 01 06 15 30     1.8 14.30 999.00  7.10  92.1  9.00 999.00    10 99.00 99.00
2020 01 06 16 00     1.8 14.20 999.00  6.60  96.3  9.50 999.00    10 99.00 99.00
2020 01 06 16 30     1.8 14.30 999.00  6.40  99.0  9.80 999.00     9 99.00 99.00
2020 01 06 17 00     1.8 14.30 999.00  6.40  99.4  9.80 999.00     9 99.00 99.00
2020 01 06 17 30     1.8 14.40 999.00  6.30  99.8  9.80 999.00     8 99.00 99.00
2020 01 06 18 00     1.8 14.50 999.00  6.40  98.2  9.60 999.00     8 99.00 99.00
2020 01 06 18 30     1.9 14.60 999.00  6.40 103.0 10.10 999.00     9 99.00 99.00
2020 01 06 19 00     1.9 14.50 999.00  7.30  97.8  9.60 999.00    10 99.00 99.00
